Date,Town,Case,Rate
4/22/2020,Nantucket,9,79.37
4/22/2020,Natick,214,595.73
4/22/2020,Needham,156,532.2
4/22/2020,New Ashford,0,0
4/22/2020,New Bedford,212,212.95
4/22/2020,New Braintree,,
4/22/2020,New Marlborough,,
4/22/2020,New Salem,0,0
4/22/2020,Newbury,,
4/22/2020,Newburyport,38,213.44
4/22/2020,Newton,455,496.03
4/22/2020,Norfolk,14,113.4
4/22/2020,North Adams,39,298.69
4/22/2020,North Andover,121,400.02
4/22/2020,North Attleborough,107,354.13
4/22/2020,North Brookfield,5,
4/22/2020,North Reading,119,719.7
4/22/2020,Northampton,119,407.1
4/22/2020,Northborough,74,540.51
4/22/2020,Northbridge,90,500.44
4/22/2020,Northfield,,
4/22/2020,Norton,66,332.28
4/22/2020,Norwell,52,485.76
4/22/2020,Norwood,316,1049.41
4/22/2020,Oak Bluffs,,
4/22/2020,Oakham,,
4/22/2020,Orange,25,306.27
4/22/2020,Orleans,11,194.76
4/22/2020,Otis,,
4/22/2020,Oxford,23,166.88
4/22/2020,Palmer,14,117.7
4/22/2020,Paxton,9,181.85
4/22/2020,Peabody,380,681.42
4/22/2020,Pelham,,
4/22/2020,Pembroke,44,235.63
4/22/2020,Pepperell,21,171
4/22/2020,Peru,,
4/22/2020,Petersham,,
4/22/2020,Phillipston,7,408.35
4/22/2020,Pittsfield,120,271.02
4/22/2020,Plainfield,0,0
4/22/2020,Plainville,32,350.73
4/22/2020,Plymouth,152,245.02
4/22/2020,Plympton,,
4/22/2020,Princeton,,
4/22/2020,Provincetown,18,686.01
4/22/2020,Quincy,551,544.79
4/22/2020,Randolph,481,1405.65
4/22/2020,Raynham,110,736.42
4/22/2020,Reading,118,429.34
4/22/2020,Rehoboth,27,214.02
4/22/2020,Revere,759,1245.97
4/22/2020,Richmond,5,376.53
4/22/2020,Rochester,8,141.9
4/22/2020,Rockland,133,737.4
4/22/2020,Rockport,24,366.18
4/22/2020,Rowe,0,0
4/22/2020,Rowley,16,259.17
4/22/2020,Royalston,,
4/22/2020,Russell,9,476.94
4/22/2020,Rutland,22,244.2
4/22/2020,Salem,277,615.3
4/22/2020,Salisbury,19,214.92
4/22/2020,Sandisfield,,
4/22/2020,Sandwich,57,270.98
4/22/2020,Saugus,194,682.49
4/22/2020,Savoy,,
4/22/2020,Scituate,54,297.99
4/22/2020,Seekonk,34,242.82
4/22/2020,Sharon,69,376.83
4/22/2020,Sheffield,11,356.33
4/22/2020,Shelburne,5,270.38
4/22/2020,Sherborn,5,
4/22/2020,Shirley,25,296.59
4/22/2020,Shrewsbury,147,373.11
4/22/2020,Shutesbury,,
4/22/2020,Somerset,38,205.32
4/22/2020,Somerville,415,542.21
4/22/2020,South Hadley,46,254.16
4/22/2020,Southampton,24,399.63
4/22/2020,Southborough,21,215.99
4/22/2020,Southbridge,42,249.36
4/22/2020,Southwick,25,255.28
4/22/2020,Spencer,11,95.48
4/22/2020,Springfield,835,527.37
4/22/2020,Sterling,16,203.22
4/22/2020,Stockbridge,6,344.13
4/22/2020,Stoneham,180,807.03
4/22/2020,Stoughton,305,1102.77
4/22/2020,Stow,9,124.83
4/22/2020,Sturbridge,21,201.11
4/22/2020,Sudbury,55,307.2
4/22/2020,Sunderland,7,184.14
4/22/2020,Sutton,20,222.61
4/22/2020,Swampscott,77,561.77
4/22/2020,Swansea,31,194.12
4/22/2020,Taunton,351,612.79
4/22/2020,Templeton,84,940.55
4/22/2020,Tewksbury,204,662.54
4/22/2020,Tisbury,,
4/22/2020,Tolland,0,0
4/22/2020,Topsfield,76,1300.49
4/22/2020,Townsend,17,185.81
4/22/2020,Truro,9,455.74
4/22/2020,Tyngsborough,63,525.4
